model_timestamp,boreid,obsval,obsnme,obgnme,weight
19616,70118010,221.0630590820312,70118010_19616,head,1.0
19979,70118010,221.2330590820312,70118010_19979,head,1.0
20768,70118010,221.5030590820312,70118010_20768,head,1.0
21919,70118010,221.8130590820312,70118010_21919,head,1.0
22160,70118010,221.9430590820312,70118010_22160,head,1.0
22312,70118010,221.9590590820312,70118010_22312,head,1.0
22555,70118010,221.9730590820312,70118010_22555,head,1.0
22826,70118010,222.0480590820312,70118010_22826,head,1.0
23039,70118010,222.1080590820312,70118010_23039,head,1.0
23220,70118010,222.1630590820312,70118010_23220,head,1.0
23402,70118010,222.1130590820312,70118010_23402,head,1.0
23644,70118010,222.2080590820312,70118010_23644,head,1.0
23947,70118010,222.2930590820312,70118010_23947,head,1.0
24401,70118010,222.3880590820312,70118010_24401,head,1.0
24703,70118010,222.4480590820312,70118010_24703,head,1.0
25097,70118010,222.5680590820312,70118010_25097,head,1.0
25461,70118010,222.7430590820312,70118010_25461,head,1.0
25704,70118010,222.9730590820312,70118010_25704,head,1.0
25976,70118010,223.1680590820312,70118010_25976,head,1.0
26217,70118010,223.2830590820312,70118010_26217,head,1.0
26550,70118010,223.7580590820312,70118010_26550,head,1.0
26914,70118010,223.9955590820312,70118010_26914,head,1.0
27246,70118010,224.1630590820312,70118010_27246,head,1.0
5843,70118014,211.3145588867188,70118014_5843,head,1.0
6266,70118014,212.5053588867188,70118014_6266,head,1.0
6509,70118014,212.9403588867188,70118014_6509,head,1.0
6691,70118014,213.2903588867188,70118014_6691,head,1.0
6993,70118014,213.8003588867188,70118014_6993,head,1.0
7265,70118014,214.1103588867188,70118014_7265,head,1.0
7417,70118014,214.5253588867188,70118014_7417,head,1.0
7567,70118014,214.7503588867188,70118014_7567,head,1.0
7750,70118014,214.9303588867188,70118014_7750,head,1.0
8023,70118014,215.2203588867188,70118014_8023,head,1.0
8114,70118014,215.9403588867188,70118014_8114,head,1.0
8355,70118014,215.6903588867188,70118014_8355,head,1.0
8507,70118014,215.9703588867188,70118014_8507,head,1.0
8657,70118014,216.1003588867188,70118014_8657,head,1.0
8840,70118014,216.3703588867188,70118014_8840,head,1.0
9020,70118014,216.5803588867188,70118014_9020,head,1.0
9264,70118014,216.9303588867188,70118014_9264,head,1.0
9537,70118014,217.4403588867188,70118014_9537,head,1.0
9839,70118014,217.9133588867188,70118014_9839,head,1.0
9930,70118014,218.1783588867188,70118014_9930,head,1.0
10202,70118014,218.4603588867188,70118014_10202,head,1.0
10323,70118014,218.6303588867188,70118014_10323,head,1.0
10565,70118014,218.7303588867188,70118014_10565,head,1.0
10656,70118014,218.9203588867188,70118014_10656,head,1.0
10898,70118014,219.0003588867188,70118014_10898,head,1.0
11020,70118014,219.0303588867188,70118014_11020,head,1.0
11261,70118014,219.2103588867188,70118014_11261,head,1.0
11383,70118014,219.3703588867188,70118014_11383,head,1.0
11655,70118014,219.5003588867188,70118014_11655,head,1.0
11776,70118014,219.5403588867188,70118014_11776,head,1.0
12018,70118014,219.7403588867188,70118014_12018,head,1.0
12290,70118014,220.0003588867188,70118014_12290,head,1.0
