SITE_ID,DEFAULT_SITE_REF,SITE_TYPE,SITE_SUBTYPE,DEFAULT_SITE_NUM_SYS,SITE_NAME,SITE_SHORTNAME,ALL_SITE_REFERENCES,TEXT_REF,ZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPHEROID
61712884,61712884,Groundwater,Bore or Well,AWRC,Kadathinni - 844,844,20033674 [WIN_ID]; 2038-4-SW-0009 [AQWAB]; 61712884 [SITE_REF],,50,360673.03,6719241.46,-29.648998971,115.560530964,GDA2020
61712885,61712885,Groundwater,Bore or Well,AWRC,Kadathinni - Bore,Bore,20033675 [WIN_ID]; 2038-4-SW-0010 [AQWAB]; 61712885 [SITE_REF],,50,363028.02,6718476.46,-29.656162937,115.584758933,GDA2020
61712886,61712886,Groundwater,Bore or Well,AWRC,Kadathinni - Dookanooka No 1,Dookanooka No 1,20033676 [WIN_ID]; 2038-4-SW-0011 [AQWAB]; 61712886 [SITE_REF],,50,367036.01,6719949.46,-29.643308342,115.626341269,GDA2020
61714965,61714965,Groundwater,Unknown,AWRC,Eneabba - Bore,Bore,1938-2-NE-0017 [AQWAB]; 20007704 [WIN_ID]; 61714965 [SITE_REF],,50,350407.01,6698791.46,-29.832298217,115.451665501,GDA2020
61716291,61716291,Groundwater,Unknown,AWRC,Carnamah - Bore,Bore,20033452 [WIN_ID]; 2038-3-NE-0002 [AQWAB]; 61716291 [SITE_REF],,50,369899.01,6704107.47,-29.786545914,115.654006505,GDA2020
61716292,61716292,Groundwater,Unknown,AWRC,Carnamah - Bore,Bore,20033453 [WIN_ID]; 2038-3-NE-0003 [AQWAB]; 61716292 [SITE_REF],,50,369141.01,6703561.46,-29.791392074,115.646099938,GDA2020
61716293,61716293,Groundwater,Unknown,AWRC,Carnamah - Bore,Bore,20033454 [WIN_ID]; 2038-3-NE-0004 [AQWAB]; 61716293 [SITE_REF],,50,370501.02,6702603.46,-29.800178936,115.660052559,GDA2020
61716295,61716295,Groundwater,Unknown,AWRC,Carnamah - 851B,851B,20033482 [WIN_ID]; 2038-3-NE-0032 [AQWAB]; 61716295 [SITE_REF],,50,368092.02,6701572.46,-29.809225916,115.635005724,GDA2020
61716298,61716298,Groundwater,Unknown,AWRC,Kadathinni - Lucas No 2,Lucas No 2,20033657 [WIN_ID]; 2038-4-SE-0018 [AQWAB]; 61716298 [SITE_REF],,50,371436.01,6709747.46,-29.735819983,115.670576315,GDA2020
61718116,61718116,Groundwater,Bore or Well,AWRC,Eneabba Line - El1A,El1A,2038-3-NE-0035 [AQWAB]; 61718116 [SITE_REF]; 6451 [WIN_ID],,50,370676.02,6702783.46,-29.798573237,115.661884508,GDA2020
61718117,61718117,Groundwater,Bore or Well,AWRC,Eneabba Line - El1B,El1B,2038-3-NE-0037 [AQWAB]; 61718117 [SITE_REF]; 6452 [WIN_ID],,50,370690.02,6702783.46,-29.798574703,115.662029333,GDA2020
61718118,61718118,Groundwater,Bore or Well,AWRC,Eneabba Line - El1C,El1C,2038-3-NE-0036 [AQWAB]; 61718118 [SITE_REF]; 6453 [WIN_ID],,50,370715.02,6702778.46,-29.798622433,115.662287350,GDA2020
61718119,61718119,Groundwater,Bore or Well,AWRC,Eneabba Line - El2A,El2A,2038-3-NW-0013 [AQWAB]; 61718119 [SITE_REF]; 6454 [WIN_ID],,50,364326.02,6702688.47,-29.798748916,115.596185094,GDA2020
61718120,61718120,Groundwater,Bore or Well,AWRC,Eneabba Line - El2B,El2B,2038-3-NW-0014 [AQWAB]; 61718120 [SITE_REF]; 6455 [WIN_ID],,50,364348.02,6702691.47,-29.798724267,115.596413048,GDA2020
61718121,61718121,Groundwater,Bore or Well,AWRC,Eneabba Line - El2C,El2C,2038-3-NW-0015 [AQWAB]; 61718121 [SITE_REF]; 6456 [WIN_ID],,50,364368.02,6702698.47,-29.798663309,115.596620818,GDA2020
61718122,61718122,Groundwater,Bore or Well,AWRC,Eneabba Line - El3A,El3A,2038-3-NW-0010 [AQWAB]; 61718122 [SITE_REF]; 6457 [WIN_ID],,50,357885.03,6702361.47,-29.800974544,115.529515070,GDA2020
61718123,61718123,Groundwater,Bore or Well,AWRC,Eneabba Line - El3B,El3B,2038-3-NW-0011 [AQWAB]; 61718123 [SITE_REF]; 6458 [WIN_ID],,50,357897.03,6702372.47,-29.800876685,115.529640652,GDA2020
61718124,61718124,Groundwater,Bore or Well,AWRC,Eneabba Line - El3C,El3C,2038-3-NW-0012 [AQWAB]; 61718124 [SITE_REF]; 6459 [WIN_ID],,50,357907.03,6702379.47,-29.800814683,115.529745019,GDA2020
61718125,61718125,Groundwater,Bore or Well,AWRC,Eneabba Line - El4,El4,1938-2-NE-0018 [AQWAB]; 61718125 [SITE_REF]; 6460 [WIN_ID],,50,350595.01,6702015.45,-29.803235637,115.454058486,GDA2020
61718126,61718126,Groundwater,Bore or Well,AWRC,Eneabba Line - El4A,El4A,1938-2-NE-0019 [AQWAB]; 61718126 [SITE_REF]; 6461 [WIN_ID],,50,350580.01,6702014.45,-29.803242844,115.453903184,GDA2020
61718127,61718127,Groundwater,Bore or Well,AWRC,Eneabba Line - El4B,El4B,1938-2-NE-0020 [AQWAB]; 61718127 [SITE_REF]; 6462 [WIN_ID],,50,350603.01,6702013.45,-29.803254647,115.454140963,GDA2020
61719111,61719111,Groundwater,Bore or Well,AWRC,Dathagnoorara Scheme - 2-71 ( 2),2-71 ( 2),2038-3-NE-0034 [AQWAB]; 61719111 [SITE_REF]; 6511 [WIN_ID],,50,375323.02,6702983.46,-29.797246656,115.709979789,GDA2020
61719112,61719112,Groundwater,Bore or Well,AWRC,Dathagnoorara Scheme - 1-71 ( 1),1-71 ( 1),2038-3-NE-0033 [AQWAB]; 61719112 [SITE_REF]; 6512 [WIN_ID],,50,375325.02,6702983.46,-29.797246858,115.710000479,GDA2020
61719113,61719113,Groundwater,Bore or Well,AWRC,Dathagnoorara Scheme - 2-86,2-86,61719113 [SITE_REF]; 6513 [WIN_ID],,50,375300.02,6702811.46,-29.798796222,115.709721949,GDA2020
61719114,61719114,Groundwater,Bore or Well,AWRC,Dathagnoorara Scheme - 1-91,1-91,61719114 [SITE_REF]; 9163020 [WIN_ID],,50,375450.02,6702761.46,-29.799262491,115.711267897,GDA2020
61740141,61740141,Groundwater,Bore or Well,AWRC,Carnamah - Company,Company,23043486 [WIN_ID]; 61740141 [SITE_REF],,50,378269.02,6694961.46,-29.869920267,115.739547175,GDA2020
61740334,61740334,Groundwater,Bore or Well,AWRC,Dandaragan Almond Project - Npb-Ds-P12,Npb-Ds-P12,23044928 [WIN_ID]; 61740334 [SITE_REF],,50,365284.03,6693743.46,-29.879556934,115.604973918,GDA2020
61740335,61740335,Groundwater,Bore or Well,AWRC,Dandaragan Almond Project - Npb-Ds-P13,Npb-Ds-P13,23044929 [WIN_ID]; 61740335 [SITE_REF],,50,365261.03,6694258.46,-29.874908043,115.604800486,GDA2020
61740351,61740351,Groundwater,Bore or Well,AWRC,Carnamah - Private,Private,23045449 [WIN_ID]; 61740351 [SITE_REF],,50,367807.03,6695162.46,-29.867028048,115.631268910,GDA2020
61740352,61740352,Groundwater,Bore or Well,AWRC,Carnamah - Private,Private,23045450 [WIN_ID]; 61740352 [SITE_REF],,50,365300.03,6693262.47,-29.883898304,115.605079153,GDA2020
61740353,61740353,Groundwater,Bore or Well,AWRC,Carnamah - Private,Private,23045451 [WIN_ID]; 61740353 [SITE_REF],,50,366126.03,6693224.46,-29.884331295,115.613626171,GDA2020
61740354,61740354,Groundwater,Bore or Well,AWRC,Carnamah - Private,Private,23045452 [WIN_ID]; 61740354 [SITE_REF],,50,367835.03,6695893.46,-29.860435816,115.631648750,GDA2020
61770090,61770090,Groundwater,Bore or Well,AWRC,Kadathinni - Company,Company,23074838 [WIN_ID]; 61770090 [SITE_REF],,50,363141.03,6720751.46,-29.635649542,115.586213129,GDA2020
61770139,61770139,Groundwater,Bore or Well,AWRC,Kadathinni - Company,Company,23085956 [WIN_ID]; 61770139 [SITE_REF],,50,366009.02,6722293.47,-29.622049300,115.616023135,GDA2020
61770241,61770241,Groundwater,Bore or Well,AWRC,Kadathinni - PB1,PB1,23090805 [WIN_ID]; 61770241 [SITE_REF],,50,354220.04,6708879.46,-29.741743340,115.492484721,GDA2020
61819021,61819021,Groundwater,Bore or Well,AWRC,Three Springs Tws - Dookanooka 2-75,Dookanooka 2-75,2038-4-NW-0010 [AQWAB]; 61819021 [SITE_REF]; 6684 [WIN_ID],,50,364148.04,6731713.49,-29.536855550,115.597981236,GDA2020
