Year,Month,Total Rainfall (mm),Date,Month Type,Year Type,Class
1941,8,50.00,1/08/1941,Wet,Dry,1941_Wet
1941,9,32.45,1/09/1941,Dry,Dry,1941_Dry
1941,10,20.95,1/10/1941,Dry,Dry,1941_Dry
1941,11,14.80,1/11/1941,Dry,Dry,1941_Dry
1941,12,2.75,1/12/1941,Dry,Dry,1941_Dry
1942,1,13.95,1/01/1942,Dry,Dry,1941_Dry
1942,2,1.30,1/02/1942,Dry,Dry,1941_Dry
1942,3,85.45,1/03/1942,Wet,Dry,1941_Dry
1942,4,43.05,1/04/1942,Wet,Dry,1941_Dry
1942,5,90.05,1/05/1942,Wet,Dry,1942_Wet
1942,6,89.30,1/06/1942,Wet,Dry,1942_Wet
1942,7,45.05,1/07/1942,Wet,Dry,1942_Wet
1942,8,56.20,1/08/1942,Wet,Dry,1942_Wet
1942,9,34.35,1/09/1942,Dry,Dry,1942_Dry
1942,10,9.40,1/10/1942,Dry,Dry,1942_Dry
1942,11,0.25,1/11/1942,Dry,Dry,1942_Dry
1942,12,9.15,1/12/1942,Dry,Dry,1942_Dry
1943,1,21.95,1/01/1943,Dry,Dry,1942_Dry
1943,2,31.50,1/02/1943,Dry,Dry,1942_Dry
1943,3,117.30,1/03/1943,Wet,Dry,1943_Wet
1943,4,15.40,1/04/1943,Dry,Dry,1943_Wet
1943,5,25.60,1/05/1943,Dry,Dry,1943_Wet
1943,6,69.30,1/06/1943,Wet,Dry,1943_Wet
1943,7,55.45,1/07/1943,Wet,Dry,1943_Wet
1943,8,49.50,1/08/1943,Wet,Dry,1943_Wet
1943,9,36.20,1/09/1943,Dry,Dry,1943_Dry
1943,10,10.50,1/10/1943,Dry,Dry,1943_Dry
1943,11,0.25,1/11/1943,Dry,Dry,1943_Dry
1943,12,16.10,1/12/1943,Dry,Dry,1943_Dry
1944,1,0.40,1/01/1944,Dry,Dry,1943_Dry
1944,2,0.00,1/02/1944,Dry,Dry,1943_Dry
