Year,Month,Total Rainfall (mm),Date,Month Type,Year Type,Class
1942,4,43.05,1942-04-01,Wet,Dry,
1942,5,90.05000000000001,1942-05-01,Wet,Dry,1942_Wet
1942,6,89.3,1942-06-01,Wet,Dry,1942_Wet
1942,7,45.05,1942-07-01,Wet,Dry,1942_Wet
1942,8,56.199999999999996,1942-08-01,Wet,Dry,1942_Wet
1942,9,34.35,1942-09-01,Dry,Dry,1942_Dry
1942,10,9.399999999999999,1942-10-01,Dry,Dry,1942_Dry
1942,11,0.25,1942-11-01,Dry,Dry,1942_Dry
1942,12,9.15,1942-12-01,Dry,Dry,1942_Dry
1943,1,21.950000000000003,1943-01-01,Dry,Dry,1942_Dry
